datetime,time,value,type
2025-04-21 09:27:00,09:27:00,12.9,1
2025-04-21 09:28:00,09:28:00,12.3,0
2025-04-21 09:28:00,09:28:00,12.8,1
2025-04-21 09:29:00,09:29:00,12.7,1
2025-04-21 09:30:00,09:30:00,12.4,1
2025-04-21 09:31:00,09:31:00,12.2,1
2025-04-21 09:34:00,09:34:00,11.9,1
2025-04-21 09:35:00,09:35:00,11.9,1
2025-04-21 09:36:00,09:36:00,11.8,1
2025-04-21 09:37:00,09:37:00,11.7,1
2025-04-21 09:38:00,09:38:00,11.7,1
2025-04-21 09:39:00,09:39:00,11.7,1
2025-04-21 09:42:00,09:42:00,11.8,1
2025-04-21 09:43:00,09:43:00,11.8,0
2025-04-21 09:44:00,09:44:00,11.8,1
2025-04-21 09:44:00,09:44:00,11.8,1
2025-04-21 09:58:00,09:58:00,11.9,0
2025-04-21 10:06:00,10:06:00,11.8,1
2025-04-21 10:06:00,10:06:00,11.8,1
2025-04-21 10:13:00,10:13:00,12.1,0
2025-04-21 10:14:00,10:14:00,12.0,1
2025-04-21 10:15:00,10:15:00,12.0,1
2025-04-21 10:16:00,10:16:00,12.0,1
2025-04-21 10:17:00,10:17:00,12.1,1
2025-04-21 10:22:00,10:22:00,12.3,1
2025-04-21 10:26:00,10:26:00,12.6,1
2025-04-21 10:27:00,10:27:00,12.7,1
2025-04-21 10:28:00,10:28:00,12.7,1
2025-04-21 10:28:00,10:28:00,12.7,0
2025-04-21 10:30:00,10:30:00,13.1,1
2025-04-21 10:31:00,10:31:00,13.4,1
2025-04-21 10:43:00,10:43:00,12.7,0
2025-04-21 10:56:00,10:56:00,11.1,1
2025-04-21 10:58:00,10:58:00,11.3,0
2025-04-21 11:01:00,11:01:00,11.2,1
2025-04-21 11:06:00,11:06:00,10.6,1
2025-04-21 11:07:00,11:07:00,10.6,1
2025-04-21 11:14:00,11:14:00,10.8,0
2025-04-21 11:18:00,11:18:00,10.0,1
2025-04-21 11:29:00,11:29:00,10.1,0
2025-04-21 11:44:00,11:44:00,8.2,0
2025-04-21 11:47:00,11:47:00,6.5,1
2025-04-21 11:48:00,11:48:00,6.2,1
2025-04-21 11:50:00,11:50:00,6.4,1
2025-04-21 11:56:00,11:56:00,8.4,1
2025-04-21 11:57:00,11:57:00,8.2,1
2025-04-21 11:58:00,11:58:00,8.3,1
2025-04-21 11:59:00,11:59:00,8.6,0
2025-04-21 11:59:00,11:59:00,8.3,1
2025-04-21 12:00:00,12:00:00,8.4,1
2025-04-21 12:01:00,12:01:00,9.3,1
2025-04-21 12:04:00,12:04:00,9.8,1
2025-04-21 12:12:00,12:12:00,8.4,1
2025-04-21 12:13:00,12:13:00,8.3,1
2025-04-21 12:14:00,12:14:00,8.7,0
2025-04-21 12:17:00,12:17:00,8.3,1
2025-04-21 12:18:00,12:18:00,8.3,1
2025-04-21 12:19:00,12:19:00,8.2,1
